provider,category,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Azure,Migrate,az_Data_Box_Edge,false,cloud,terminal,az_Data_Box_Edge,icons/Azure_Public_Service_Icons/Migrate/10095-icon-service-Data-Box-Edge.svg,,
Google Cloud Platform,Internet of Things,gcp_Cloud_IoT_Core,false,cloud,terminal,gcp_Cloud_IoT_Core,icons/GCP Icons/Products and services/Internet of Things/Cloud IoT Core.svg,,
Azure,Management + Governance,az_Monitor,false,cloud,terminal,az_Monitor,icons/Azure_Public_Service_Icons/Management + Governance/00001-icon-service-Monitor.svg,,
Azure,Management + Governance,az_Alerts,false,cloud,terminal,az_Alerts,icons/Azure_Public_Service_Icons/Management + Governance/00002-icon-service-Alerts.svg,,
Azure,Management + Governance,az_Advisor,false,cloud,terminal,az_Advisor,icons/Azure_Public_Service_Icons/Management + Governance/00003-icon-service-Advisor.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,gcp_Stackdriver,false,cloud,terminal,gcp_Stackdriver,icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Stackdriver.svg,,
Azure,Management + Governance,az_User_Privacy,false,cloud,terminal,az_User_Privacy,icons/Azure_Public_Service_Icons/Management + Governance/00005-icon-service-User-Privacy.svg,,
Azure,Management + Governance,az_Blueprints,false,cloud,terminal,az_Blueprints,icons/Azure_Public_Service_Icons/Management + Governance/00006-icon-service-Blueprints.svg,,
Google Cloud Platform,Hybrid and Multi Cloud,gcp_Traffic_Director,false,cloud,terminal,gcp_Traffic_Director,icons/GCP Icons/Products and services/Hybrid and Multi Cloud/Traffic Director.svg,,
Azure,Management + Governance,az_Activity_Log,false,cloud,terminal,az_Activity_Log,icons/Azure_Public_Service_Icons/Management + Governance/00007-icon-service-Activity-Log.svg,,
Azure,Management + Governance,az_Diagnostics_Settings,false,cloud,terminal,az_Diagnostics_Settings,icons/Azure_Public_Service_Icons/Management + Governance/00008-icon-service-Diagnostics-Settings.svg,,
Azure,Management + Governance,az_Log_Analytics_Workspaces,false,cloud,terminal,az_Log_Analytics_Workspaces,icons/Azure_Public_Service_Icons/Management + Governance/00009-icon-service-Log-Analytics-Workspaces.svg,,
Azure,Management + Governance,az_Application_Insights,false,cloud,terminal,az_Application_Insights,icons/Azure_Public_Service_Icons/Management + Governance/00012-icon-service-Application-Insights.svg,,
Azure,Management + Governance,az_My_Customers,false,cloud,terminal,az_My_Customers,icons/Azure_Public_Service_Icons/Management + Governance/00014-icon-service-My-Customers.svg,,
Azure,Management + Governance,az_Managed_Applications_Center,false,cloud,terminal,az_Managed_Applications_Center,icons/Azure_Public_Service_Icons/Management + Governance/00015-icon-service-Managed-Applications-Center.svg,,
Azure,Management + Governance,az_Recovery_Services_Vaults,false,cloud,terminal,az_Recovery_Services_Vaults,icons/Azure_Public_Service_Icons/Management + Governance/00017-icon-service-Recovery-Services-Vaults.svg,,
Azure,Management + Governance,az_Policy,false,cloud,terminal,az_Policy,icons/Azure_Public_Service_Icons/Management + Governance/00018-icon-service-Policy.svg,,
Azure,Management + Governance,az_Resource_Graph_Explorer,false,cloud,terminal,az_Resource_Graph_Explorer,icons/Azure_Public_Service_Icons/Management + Governance/00019-icon-service-Resource-Graph-Explorer.svg,,
Azure,Management + Governance,az_Metrics,false,cloud,terminal,az_Metrics,icons/Azure_Public_Service_Icons/Management + Governance/00020-icon-service-Metrics.svg,,
